Facility PK,FacilityName,Service Category,Service Type,BuildingNumber,PartnerType,PartnerTypeDetailed,Address,Address 2,Borough,Zipcode,Latitude,Longitude,Phone,AdditionalInfo,StartDate,EndDate,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Condoms (Male),FC2 (Female/Insertive Condoms),Lubricant,Facility Type,Website,Community Board,Council District,Census Tract,BIN,BBL,NTA
113739487,The Make Up Shop,Free Safer Sex Products,Condoms and Lubricant,,Business,Beauty Salon,79-02 37 Avenue,,Queens,11372,40.749462,-73.886944,917-443-4360,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products inside a dispenser located near the restroom at this beauty salon. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community,19000101000000.000000000,19000101000000.000000000,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,,,true,false,true,,,,,,,,
113739321,Hombres Lounge,Free Safer Sex Products,Condoms and Lubricant,,Business,Bar/Lounge,85-28 37 Avenue,,Queens,11372,40.7499107,-73.8808439,347-693-3050,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products inside a dispenser located downstairs near the restroom at this bar/lounge. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook c,19000101000000.000000000,19000101000000.000000000,5:00 PM - 4:00 AM,5:00 PM - 4:00 AM,5:00 PM - 4:00 AM,5:00 PM - 4:00 AM,5:00 PM - 4:00 AM,5:00 PM - 4:00 AM,5:00 PM - 4:00 AM,true,false,true,,,,,,,,
113739356,Lamour Lingerie and Apparel,Free Safer Sex Products,Condoms and Lubricant,,Business,Sex Store,113 Christopher Street,,Manhattan,10014,40.733255,-74.005232,718-599-4999,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products inside a fishbowl located near the register at this sex store. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,19000101000000.000000000,19000101000000.000000000,8:00 AM - 1:00 AM,8:00 AM - 1:00 AM,8:00 AM - 1:00 AM,8:00 AM - 1:00 AM,8:00 AM - 1:00 AM,8:00 AM - 1:00 AM,8:00 AM - 1:00 AM,true,false,false,,,,,,,,
113739423,Parkway Liquor,Free Safer Sex Products,Condoms and Lubricant,,Business,Liquor Store,208 East 170 Street,,Bronx,10456,40.838499,-73.913207,212-228-1195,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products inside a dispenser located in the front near the entrance at this liquor store. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebo,19000101000000.000000000,19000101000000.000000000,9:00 AM - 11:00 PM,9:00 AM - 11:00 PM,9:00 AM - 11:00 PM,9:00 AM - 11:00 PM,,,12:00 PM - 9:00 PM,true,false,false,,,,,,,,
113739344,Kev'S Unique Barbershop,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Other,793 Crown Street,,Brooklyn,11213,40.665211,-73.930882,(347) 304-1203,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,19000101000000.000000000,19000101000000.000000000,,,,,,,,true,true,true,,,,,,,,
113739237,D'Antonia (Formerly Karipa Unisex/George's),Free Safer Sex Products,Condoms and Lubricant,,Business,Beauty Salon,1195 Walton Avenue,,Bronx,10452,40.834121,-73.920039,,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products inside a dispenser located in the front near the entrance at this beauty salon. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebo,19000101000000.000000000,19000101000000.000000000,,,,,,,,true,false,false,,,,,,,,
113739165,Barrow's Pub,Free Safer Sex Products,Condoms and Lubricant,,Business,Bar/Lounge,463 Hudson Street,,Manhattan,10014,40.731578,-74.006899,,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products inside a fishbowl located on the countertop near the atm at this bar/lounge. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook,19000101000000.000000000,19000101000000.000000000,11:00 AM - 4:00 AM,11:00 AM - 4:00 AM,11:00 AM - 4:00 AM,11:00 AM - 4:00 AM,11:00 AM - 4:00 AM,11:00 AM - 4:00 AM,11:00 AM - 4:00 AM,true,false,false,,,,,,,,
113739231,Cumberland Diagnostic and Treatment Center,Free Safer Sex Products,Condoms and Lubricant,,Community Health Center,Clinical Facility,"100 North Portland Avenue,Room 356",,Brooklyn,11205,40.695099,-73.9764879,(718) 260-7500,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products inside a bowl located front desk at this clinical facility. Last Updated: 1/13/2021 <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Fa,19000101000000.000000000,19000101000000.000000000,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 9:00 AM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,,,true,true,true,,http://www.nyc.gov/html/hhc/html/about/About-HospServices-PrimaryPre-Cumberland.shtml,,,,,,
113739148,Alibi Lounge,Free Safer Sex Products,Condoms and Lubricant,,Business,Bar/Lounge,2376 Adam Clayton Powell Jr Boulevard,,Manhattan,10030,40.817729,-73.941942,,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products inside a fishbowl located in the back at this bar/lounge. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,19000101000000.000000000,19000101000000.000000000,,,,,,,,true,false,false,,,,,,,,
113739156,Atlantic Motor Inn,Free Safer Sex Products,Condoms and Lubricant,,Business,Hotel/Motel/Lodge/B&B,"1768 Atlantic Avenue,Front Desk",,Brooklyn,11213,40.6772048,-73.931605,(718) 771-7171,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products inside a bowl located on the front desk at this hotel/motel/lodge/b&b. Last Updated: 1/13/2021 <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/N,19000101000000.000000000,19000101000000.000000000,12:00 AM - 11:59 PM,12:00 AM - 11:59 PM,12:00 AM - 12:00 AM,12:00 AM - 11:59 PM,12:00 AM - 11:59 PM,12:00 AM - 11:59 PM,12:00 AM - 11:59 PM,true,true,false,,,,,,,,
113739361,Life Pharmacy,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Other,471 Lenox Avenue,,Manhattan,10037,40.813063,-73.941635,(347) 557-2425,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,19000101000000.000000000,19000101000000.000000000,,,,,,,,true,true,true,,,,,,,,
113739520,Westside Tavern,Free Safer Sex Products,Condoms and Lubricant,,Business,Bar/Lounge,360 West 23 Street,,Manhattan,10011,40.74598,-74.000137,,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products inside a dispenser located downstairs near the entrance at this bar/lounge. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook c,19000101000000.000000000,19000101000000.000000000,5:00 PM - 4:00 AM,5:00 PM - 4:00 AM,5:00 PM - 4:00 AM,5:00 PM - 4:00 AM,5:00 PM - 4:00 AM,5:00 PM - 4:00 AM,5:00 PM - 4:00 AM,true,true,true,,,,,,,,
113739362,Lisa's Unisex,Free Safer Sex Products,Condoms and Lubricant,,Business,Beauty Salon,1683 Amsterdam Avenue,,Manhattan,10031,40.824091,-73.948429,,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products inside a fishbowl located in the front at this beauty salon. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,19000101000000.000000000,19000101000000.000000000,,,,,,,,true,false,true,,,,,,,,
113739195,Brooklyn Hair Squad,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Other,311 Utica Avenue,,Brooklyn,11213,40.6674115,-73.930961,(718) 221-9855,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,19000101000000.000000000,19000101000000.000000000,,,,,,,,true,true,true,,,,,,,,
113739525,Xander Barber Shop,Free Safer Sex Products,Condoms and Lubricant,,Business,Barbershop,"2030 Bedford Avnue,N/A",,Brooklyn,11226,40.6552644,-73.9565781,347-756-9021,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products inside a transparent cube located on top of the towel warmer at this barbershop. Last Updated: 1/19/2021 <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.face,19000101000000.000000000,19000101000000.000000000,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 4:00 PM,true,true,true,,https://www.xandersbarbershop.netlify.app,,,,,,
113739201,Cafe Alice/chef jefery,Free Safer Sex Products,Condoms and Lubricant,,Business,Restaurant,"5 East 47th St,first floor",,Manhattan,10017,40.7565619,-73.9777629,212-888-6969,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products inside a plastic container located at the cashier station at this restaurant. Last Updated: 2/24/2021 <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.faceboo,19000101000000.000000000,19000101000000.000000000,6:00 AM - 3:30 PM,6:30 AM - 2:30 PM,6:30 AM - 2:30 PM,6:30 AM - 2:30 PM,6:30 AM - 2:30 PM,7:00 AM - 2:00 PM,7:00 AM - 2:00 PM,true,true,true,,http://www.alicecafenyc.com,,,,,,
113739396,New Alternatives,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Youth Center,410 West 40 Street,,Manhattan,10018,40.7574,-73.994192,,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products inside a fishbowl located in the front at this youth center. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,19000101000000.000000000,19000101000000.000000000,,,,,,,,true,false,false,,,,,,,,
113739431,Platinum Hand Boxing,Free Safer Sex Products,Condoms and Lubricant,,Community Health Center,Other,"69-32 Myrtle Avenue,Ground",,Queens,11385,40.701865,-73.881719,,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,19000101000000.000000000,19000101000000.000000000,,,,,,,,true,true,true,,,,,,,,
113739316,Healthworld Rx,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Other,2310 2 Avenue,,Manhattan,10035,40.798532,-73.936235,(646) 861-0888,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,19000101000000.000000000,19000101000000.000000000,,,,,,,,true,true,true,,,,,,,,
113739186,Boriken Neighborhood Health Center,Free Safer Sex Products,Condoms and Lubricant,,Community Health Center,Clinical Facility,"2265 3 Avenue,Basement",,Manhattan,10035,40.8024364,-73.9363954,(212) 289-6650,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products inside a dispenser/ fishbowl located all around the center at this clinical facility. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom,19000101000000.000000000,19000101000000.000000000,,,,,,,,true,true,false,,http://www.boriken.org,,,,,,
113739375,MediSys Ozone Park and Senior Health Center Clinic,Free Safer Sex Products,Condoms and Lubricant,,Community Health Center,Other,"91-20 Atlantic Avenue,2nd Floor",,Queens,11416,40.6873799,-73.8507049,(718) 641-8207,"This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products inside a fishbowl located at the front desk, registration, and exam rooms at this location.Last Updated: 3/11/2021 <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http:",19000101000000.000000000,19000101000000.000000000,8:30 AM - 6:00 PM,8:30 AM - 6:00 PM,8:30 AM - 6:00 PM,8:30 AM - 6:00 PM,8:00 AM - 5:00 AM,8:00 AM - 5:00 PM,,true,true,true,,,,,,,,
113739349,Kulture,Free Safer Sex Products,Condoms and Lubricant,,Business,Tattoo Parlor,23 St Marks Place,,Manhattan,10003,40.729008,-73.988609,,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products inside a fishbowl located on the counter at this tattoo parlor. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,19000101000000.000000000,19000101000000.000000000,,,,,,,,true,true,true,,,,,,,,
113739354,La Sala (Formerly Crescent Lounge),Free Safer Sex Products,Condoms and Lubricant,,Business,Bar/Lounge,32-05 Crescent Street,,Queens,11106,40.763307,-73.928521,,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products inside a fishbowl located in the back near the restroom at this bar/lounge. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook c,19000101000000.000000000,19000101000000.000000000,,,,,,,,true,false,true,,,,,,,,
113739488,The Music Box Caja Musical,Free Safer Sex Products,Condoms and Lubricant,,Business,Bar/Lounge,40-08 74 Street,,Queens,11373,40.7464846,-73.8916484,646-364-9600,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products inside a dispenser located in the front near the entrance at this bar/lounge. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook,19000101000000.000000000,19000101000000.000000000,5:00 PM - 4:00 AM,5:00 PM - 4:00 AM,5:00 PM - 4:00 AM,5:00 PM - 4:00 AM,5:00 PM - 4:00 AM,5:00 PM - 4:00 AM,5:00 PM - 4:00 AM,true,false,false,,,,,,,,
113739287,Gotham Medical Group @ Chelsea Village Medical Building,Free Safer Sex Products,Condoms and Lubricant,,Private Practice,Physician,"314 West 14 Street,5th floor",,Manhattan,10014,40.7399158,-74.0034973,(212) 620-0144,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products inside a bowl located in the office and waiting room at this medical group at this physician. Last Updated: 12/22/2020 <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=h,19000101000000.000000000,19000101000000.000000000,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 9:00 AM,9:00 AM - 6:00 PM,9:00 AM - 5:00 PM,,,true,false,false,,http://gothammed.com,,,,,,
113739388,Montefiore - Oval Center,Free Safer Sex Products,Condoms and Lubricant,,Community Health Center,Other,"3230 Bainbridge Ave,2nd Floor",,Bronx,10467,40.8765241,-73.8795197,(718) 882-5482,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products inside a small container located front of clinic at this location.Last Updated: 9/11/2020 <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcon,19000101000000.000000000,19000101000000.000000000,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 9:00 AM,9:00 AM - 5:00 PM,9:00 AM - 12:00 PM,,,true,true,true,,http://www.montefiore.org/std,,,,,,
113739526,Xstasy Night Club,Free Safer Sex Products,Condoms and Lubricant,,Business,Night Club,758 5 Avenue,,Brooklyn,11232,40.658468,-73.996432,646-697-2274,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products inside a fishbowl located on the left side of the window at this night club. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook,19000101000000.000000000,19000101000000.000000000,5:00 PM - 4:00 AM,5:00 PM - 4:00 AM,5:00 PM - 4:00 AM,5:00 PM - 4:00 AM,5:00 PM - 4:00 AM,5:00 PM - 4:00 AM,5:00 PM - 4:00 AM,true,false,false,,,,,,,,
113739392,Mo's Bar and Lounge,Free Safer Sex Products,Condoms and Lubricant,,Business,Bar/Lounge,80 Lafayette Avenue,,Brooklyn,11217,40.687168,-73.97476,212-665-8012,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products inside a fishbowl located by the bar at this bar/lounge. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,19000101000000.000000000,19000101000000.000000000,3:00 PM - 3:00 AM,3:00 PM - 3:00 AM,3:00 PM - 3:00 AM,3:00 PM - 3:00 AM,3:00 PM - 3:00 AM,3:00 PM - 3:00 AM,3:00 PM - 3:00 AM,true,true,true,,,,,,,,
113739524,Wyckoff Heights Medical Center - Positive Health Clinic,Free Safer Sex Products,Condoms and Lubricant,,Hospital,Clinical Facility,"1610 DeKalb Avenue,1st Floor",,Brooklyn,11237,40.7038411,-73.9193109,(718) 302-8481,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products inside a dispenser/fishbowl located in the front at this clinical facility. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook c,19000101000000.000000000,19000101000000.000000000,8:30 AM - 5:00 PM,8:30 AM - 5:00 PM,8:30 AM - 8:30 AM,8:30 AM - 5:00 PM,8:30 AM - 5:00 PM,,,true,false,true,,http://www.wyckoffhospital.org/departments/clinical/administrative/positive-health-management,,,,,,
